skipped,skip_reason,S_open,S_settle,iv_atm,long_K,short_K,debit,debit_usd,pop,breakeven,spread_width,armed,stopped,stop_time,stop_spot,pnl,winner,date
False,,4347.0,4360.0,0.19,4340.0,4345.0,4.192627778372309,419.2627778372309,0.55146340490791,4344.192627778372,5.0,True,False,,,80.73722216276913,True,2021-07-09
False,,4369.75,4376.25,0.16180000305175782,4360.0,4370.0,7.213559074372187,721.3559074372187,0.554844517724021,4367.213559074372,10.0,True,True,11:38:00,4366.25,-256.2651983577034,False,2021-07-12
False,,4376.5,4361.5,0.16170000076293944,4370.0,4375.0,4.027334741895121,402.7334741895121,0.5534913417143668,4374.027334741895,5.0,True,True,13:14:00,4372.75,-208.16020634839737,False,2021-07-13
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-15
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-16
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-19
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-26
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-29
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-07-30
False,,4409.0,4380.25,0.18239999771118165,4400.0,4405.0,4.542402816883486,454.2402816883486,0.5825659701757289,4404.542402816884,5.0,True,True,10:59:00,4404.5,-255.90511297673143,False,2021-08-02
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-08-03
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-08-04
False,,4408.5,4421.75,0.17969999313354493,4400.0,4405.0,4.44363028975398,444.363028975398,0.5765594850980682,4404.443630289754,5.0,True,False,,,55.63697102460203,True,2021-08-05
False,,4428.0,4429.25,0.17280000686645508,4420.0,4425.0,4.336727224014334,433.6727224014334,0.5719266511664494,4424.336727224014,5.0,True,True,10:50:00,4424.25,-232.69634111846233,False,2021-08-06
False,,4421.75,4425.5,0.16149999618530272,4415.0,4420.0,4.077009162453928,407.7009162453928,0.5571088202655643,4419.077009162454,5.0,True,False,,,92.29908375460721,True,2021-08-09
False,,4434.75,4430.25,0.16719999313354492,4425.0,4435.0,7.206455988740525,720.6455988740526,0.5524270398752046,4432.20645598874,10.0,True,True,10:32:00,4431.0,-265.03254275439315,False,2021-08-10
False,,4440.25,4441.0,0.16790000915527345,4430.0,4440.0,7.341982375286672,734.1982375286672,0.5592306219985144,4437.3419823752865,10.0,True,True,10:36:00,4436.75,-263.6984335006619,False,2021-08-11
False,,4437.75,4454.5,0.16170000076293944,4430.0,4435.0,4.267566072527124,426.75660725271246,0.5731401585602042,4434.267566072527,5.0,True,False,,,73.24339274728757,True,2021-08-12
False,,4457.75,4462.75,0.1559000015258789,4450.0,4455.0,4.2580609048739895,425.80609048739893,0.5757637943612472,4454.258060904874,5.0,True,False,,,74.19390951260105,True,2021-08-13
False,,4434.75,4474.0,0.15449999809265136,4425.0,4435.0,7.217703224601067,721.7703224601066,0.5566128367652126,4432.217703224601,10.0,True,False,,,278.2296775398933,True,2021-08-16
False,,4450.25,4444.5,0.16120000839233398,4440.0,4450.0,7.3489089365268265,734.8908936526826,0.5614747661637671,4447.348908936527,10.0,True,True,10:34:00,4447.0,-254.98374796121536,False,2021-08-17
False,,4445.25,4395.25,0.17909999847412109,4435.0,4445.0,7.335803335506094,733.5803335506095,0.5554875888759025,4442.335803335506,10.0,True,True,10:42:00,4442.0,-265.51326498161114,False,2021-08-18
False,,4394.25,4402.25,0.21569999694824218,4385.0,4390.0,4.670324135880406,467.03241358804064,0.5717172361641196,4389.67032413588,5.0,True,True,10:33:00,4388.25,-290.26712180289644,False,2021-08-19
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-25
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-26
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-30
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-08-31
False,,4526.0,4522.25,0.1647999954223633,4515.0,4525.0,7.550934740268202,755.0934740268202,0.5697634349599848,4522.5509347402685,10.0,True,True,15:38:00,4522.5,-269.40635669983305,False,2021-09-01
False,,4539.0,4535.75,0.16110000610351563,4530.0,4535.0,4.509340055612103,450.9340055612103,0.5916163028588898,4534.5093400556125,5.0,True,True,13:20:00,4533.5,-251.9967542850372,False,2021-09-02
False,,4529.5,4534.5,0.1640999984741211,4520.0,4525.0,4.609710293605804,460.9710293605804,0.5977738270421766,4524.6097102936055,5.0,True,False,,,39.02897063941957,True,2021-09-03
False,,4514.75,4519.25,0.1640999984741211,4505.0,4515.0,7.204515638953941,720.4515638953941,0.5525842853291655,4512.204515638954,10.0,True,False,,,279.5484361046059,True,2021-09-07
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-09-08
False,,4525.75,4493.25,0.17959999084472655,4515.0,4525.0,7.467148692333845,746.7148692333845,0.5609595583845093,4522.4671486923335,10.0,True,True,11:03:00,4522.0,-280.8204464072212,False,2021-09-09
False,,4493.25,4458.75,0.18799999237060547,4485.0,4490.0,4.423769452602723,442.37694526027235,0.5678735794008045,4489.423769452603,5.0,True,True,10:31:00,4489.0,-251.45819452130337,False,2021-09-10
False,,4463.25,4469.0,0.20950000762939452,4455.0,4460.0,4.483787929948583,448.3787929948584,0.5602127654470724,4459.483787929948,5.0,True,True,11:14:00,4458.75,-267.8183612329881,False,2021-09-13
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-14
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-15
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-16
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-20
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-21
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-22
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-23
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-24
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-27
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-28
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-29
True,monthly_stop,,,,,,,,,,,,,,,0.0,,2021-09-30
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-10-01
False,,4304.0,4292.0,0.21100000381469727,4295.0,4300.0,4.604242894362601,460.4242894362601,0.5719225779140873,4299.604242894363,5.0,True,True,10:33:00,4299.5,-273.50037305773236,False,2021-10-04
True,no_viable_short,,,,,,,,,,,,,,,0.0,,2021-10-05
