date,session_open_price,signal_price,eow_price,confirmation_return,entered,skip_reason,forward_return
2021-12-27,4729.75,4756.25,4780.25,0.00560283313071519,True,,0.005045992115637388
2021-12-28,4787.25,4789.25,4777.25,0.0004177763851898053,False,no_signal,
2021-12-29,4780.25,4777.0,4790.25,-0.0006798807593745293,False,no_signal,
2021-12-30,4788.5,4797.25,4774.75,0.0018272945598829526,False,no_signal,
2021-12-31,4766.25,4769.75,4760.5,0.000734329923944399,False,no_signal,
2022-01-03,4773.0,4776.75,4783.75,0.0007856693903205425,False,no_signal,
2022-01-04,4801.25,4804.5,4790.0,0.0006769070554542012,False,no_signal,
2022-01-05,4780.25,4786.0,4703.75,0.0012028659588934065,False,no_signal,
2022-01-06,4687.25,4684.25,4685.5,-0.0006400341351538996,False,no_signal,
2022-01-10,4633.75,4588.75,4650.25,-0.009711356892365797,False,no_signal,
2022-01-11,4659.75,4648.0,4697.0,-0.0025215945061430878,False,no_signal,
2022-01-13,4729.5,4718.5,4647.0,-0.002325827254466617,False,no_signal,
2022-01-14,4618.75,4638.0,4655.5,0.004167794316644047,False,no_signal,
2022-01-18,4604.0,4598.0,4561.5,-0.0013032145960034658,False,no_signal,
2022-01-19,4588.0,4570.75,4533.0,-0.0037598081952920914,False,no_signal,
2022-01-20,4543.75,4571.25,4475.5,0.006052269601100502,True,,-0.020946130708230815
2022-01-24,4326.25,4292.0,4397.0,-0.007916787055764263,False,no_signal,
2022-01-25,4336.25,4329.75,4343.75,-0.0014989910637071002,False,no_signal,
2022-01-27,4387.5,4379.75,4323.0,-0.001766381766381775,False,no_signal,
2022-01-28,4332.0,4312.25,4412.5,-0.0045590951061865725,False,no_signal,
2022-01-31,4417.0,4449.0,4505.0,0.0072447362463210485,True,,0.012587098224320137
2022-02-01,4511.75,4492.5,4539.0,-0.004266637114201832,False,no_signal,
2022-02-02,4559.75,4546.5,4580.75,-0.0029058610669444596,False,no_signal,
2022-02-03,4514.25,4529.5,4465.0,0.003378191283158971,False,no_signal,
2022-02-07,4499.5,4502.25,4465.75,0.0006111790198910505,False,no_signal,
2022-02-08,4471.0,4467.5,4519.25,-0.0007828226347573741,False,no_signal,
2022-02-09,4556.75,4564.25,4576.75,0.001645909913864152,False,no_signal,
2022-02-11,4498.75,4501.5,4415.5,0.0006112809113643092,False,no_signal,
2022-02-14,4403.0,4393.25,4396.25,-0.0022143992732227558,False,no_signal,
2022-02-15,4441.5,4454.0,4460.0,0.002814364516492196,False,no_signal,
2022-02-16,4443.5,4436.5,4473.0,-0.0015753347586362487,False,no_signal,
2022-02-17,4436.0,4403.75,4374.75,-0.007270063119927839,False,no_signal,
2022-02-22,4322.25,4358.0,4288.25,0.008271155069697445,True,,-0.0160050481872418
2022-02-23,4330.25,4286.5,4219.0,-0.01010334276311986,False,no_signal,
2022-02-24,4112.5,4156.5,4287.5,0.010699088145896596,True,,0.03151690123902329
2022-02-25,4298.75,4321.25,4376.5,0.005234079674323988,True,,0.012785652299681871
2022-02-28,4323.5,4332.5,4361.25,0.0020816468139239763,False,no_signal,
2022-03-01,4353.25,4350.5,4295.0,-0.0006317119393556281,False,no_signal,
2022-03-02,4327.25,4346.25,4392.0,0.004390779363337094,False,no_signal,
2022-03-03,4407.5,4380.25,4355.25,-0.006182643221781081,False,no_signal,
2022-03-07,4318.5,4263.75,4199.25,-0.012678013199027394,False,no_signal,
2022-03-08,4199.75,4166.25,4179.75,-0.007976665277695139,False,no_signal,
2022-03-09,4254.75,4260.5,4278.5,0.0013514307538633474,False,no_signal,
2022-03-11,4284.75,4259.5,4207.25,-0.005892992589999424,False,no_signal,
2022-03-14,4212.0,4231.0,4168.5,0.004510921177587779,False,no_signal,
2022-03-15,4200.5,4220.75,4265.25,0.004820854660159579,False,no_signal,
2022-03-17,4338.0,4366.5,4402.75,0.006569847856154887,True,,0.00830184358181607
2022-03-21,4451.5,4438.25,4445.5,-0.0029765247669324424,False,no_signal,
2022-03-22,4467.25,4494.25,4500.75,0.006043986792769518,True,,0.001446292484841738
2022-03-23,4477.5,4483.75,4451.25,0.0013958682300390102,False,no_signal,
2022-03-24,4468.0,4463.0,4507.5,-0.0011190689346464167,False,no_signal,
2022-03-25,4520.25,4527.75,4529.0,0.0016592002654720606,False,no_signal,
2022-03-28,4529.5,4538.75,4560.0,0.0020421680097140182,False,no_signal,
2022-03-29,4610.0,4597.25,4620.0,-0.0027657266811279557,False,no_signal,
