skipped,skip_reason,pnl,pop_computed,date
True,pop_below_threshold,0.0,0.1482059798044978,2021-07-20
True,pop_below_threshold,0.0,0.1725980632870749,2021-07-21
True,pop_below_threshold,0.0,0.19328278036448604,2021-07-22
True,pop_below_threshold,0.0,0.1938041203386841,2021-07-23
True,pop_below_threshold,0.0,0.19978665491083303,2021-07-26
True,pop_below_threshold,0.0,0.1946215675283952,2021-07-27
True,pop_below_threshold,0.0,0.17415721040894927,2021-07-28
True,pop_below_threshold,0.0,0.18481232319143992,2021-07-29
True,pop_below_threshold,0.0,0.1937595674090603,2021-07-30
True,pop_below_threshold,0.0,0.18617884159713938,2021-08-02
True,pop_below_threshold,0.0,0.17391981101644505,2021-08-03
True,pop_below_threshold,0.0,0.18914903473877326,2021-08-04
True,pop_below_threshold,0.0,0.18966091839410865,2021-08-05
True,pop_below_threshold,0.0,0.19753461890465362,2021-08-06
True,pop_below_threshold,0.0,0.2133272666355263,2021-08-09
True,pop_below_threshold,0.0,0.2036442388757106,2021-08-10
True,pop_below_threshold,0.0,0.20247962089821103,2021-08-11
True,pop_below_threshold,0.0,0.21230632180674874,2021-08-12
True,pop_below_threshold,0.0,0.2198805562920128,2021-08-13
True,pop_below_threshold,0.0,0.2218501018995278,2021-08-16
True,pop_below_threshold,0.0,0.21126639483077014,2021-08-17
True,pop_below_threshold,0.0,0.18793946083126056,2021-08-18
True,pop_below_threshold,0.0,0.1523038950200764,2021-08-19
True,pop_below_threshold,0.0,0.1499835511186604,2021-08-20
True,pop_below_threshold,0.0,0.17973820390329248,2021-08-23
True,pop_below_threshold,0.0,0.19627726730155642,2021-08-24
True,pop_below_threshold,0.0,0.19509695452988762,2021-08-25
True,pop_below_threshold,0.0,0.20123609895132,2021-08-26
True,pop_below_threshold,0.0,0.1753689219047559,2021-08-27
True,pop_below_threshold,0.0,0.286993532300451,2021-08-30
True,pop_below_threshold,0.0,0.2908474895190419,2021-08-31
True,pop_below_threshold,0.0,0.20301943943321477,2021-09-01
True,pop_below_threshold,0.0,0.20751193894491865,2021-09-02
True,pop_below_threshold,0.0,0.20339698139271545,2021-09-03
True,pop_below_threshold,0.0,0.20389515599776314,2021-09-07
True,pop_below_threshold,0.0,0.18274446935681232,2021-09-08
True,pop_below_threshold,0.0,0.18385522410731098,2021-09-09
True,pop_below_threshold,0.0,0.17598675868891966,2021-09-10
True,pop_below_threshold,0.0,0.15523613345441772,2021-09-13
True,pop_below_threshold,0.0,0.17111514195470734,2021-09-14
True,pop_below_threshold,0.0,0.17092369437642851,2021-09-15
True,pop_below_threshold,0.0,0.18452184309671543,2021-09-16
True,pop_below_threshold,0.0,0.16123280664806605,2021-09-20
True,pop_below_threshold,0.0,0.1215887397840485,2021-09-21
True,pop_below_threshold,0.0,0.1300174180701666,2021-09-22
True,pop_below_threshold,0.0,0.15702818383259048,2021-09-23
True,pop_below_threshold,0.0,0.18054394966783055,2021-09-24
True,pop_below_threshold,0.0,0.19027342140717973,2021-09-27
True,pop_below_threshold,0.0,0.18228802847854286,2021-09-28
True,pop_below_threshold,0.0,0.139318272113156,2021-09-29
True,pop_below_threshold,0.0,0.14540342093400727,2021-09-30
True,pop_below_threshold,0.0,0.14382160467984073,2021-10-01
True,pop_below_threshold,0.0,0.16072199162309864,2021-10-04
True,pop_below_threshold,0.0,0.1427636061638594,2021-10-05
True,pop_below_threshold,0.0,0.22875750489513313,2021-10-06
True,pop_below_threshold,0.0,0.15661260533081867,2021-10-07
True,pop_below_threshold,0.0,0.17215690320757626,2021-10-08
True,pop_below_threshold,0.0,0.18023909150873513,2021-10-11
True,pop_below_threshold,0.0,0.16921358617527305,2021-10-12
True,pop_below_threshold,0.0,0.17250296143003752,2021-10-13
True,pop_below_threshold,0.0,0.18101632998040196,2021-10-14
True,pop_below_threshold,0.0,0.20178931716370463,2021-10-15
True,pop_below_threshold,0.0,0.20911292139996907,2021-10-18
True,pop_below_threshold,0.0,0.20694624590885713,2021-10-19
True,pop_below_threshold,0.0,0.21324069384026162,2021-10-20
True,pop_below_threshold,0.0,0.21664420069044216,2021-10-21
True,pop_below_threshold,0.0,0.22383771974323285,2021-10-22
True,pop_below_threshold,0.0,0.21726937457337037,2021-10-25
True,pop_below_threshold,0.0,0.21859948688307657,2021-10-26
True,pop_below_threshold,0.0,0.2083018432177799,2021-10-27
True,pop_below_threshold,0.0,0.19375410520676595,2021-10-28
True,pop_below_threshold,0.0,0.20049036614546245,2021-10-29
True,pop_below_threshold,0.0,0.20211865214632618,2021-11-01
True,pop_below_threshold,0.0,0.19989812643257776,2021-11-02
True,pop_below_threshold,0.0,0.2053067565045964,2021-11-03
True,pop_below_threshold,0.0,0.2163377587461054,2021-11-04
True,pop_below_threshold,0.0,0.29317006523791767,2021-11-05
True,pop_below_threshold,0.0,0.19484920664388694,2021-11-08
True,pop_below_threshold,0.0,0.1863365275654708,2021-11-09
True,pop_below_threshold,0.0,0.17937239496243212,2021-11-10
True,pop_below_threshold,0.0,0.16992832714305134,2021-11-11
True,pop_below_threshold,0.0,0.18147489308160497,2021-11-12
True,pop_below_threshold,0.0,0.1985028725050153,2021-11-15
True,pop_below_threshold,0.0,0.19507933730247085,2021-11-16
True,pop_below_threshold,0.0,0.27761969323534064,2021-11-17
True,pop_below_threshold,0.0,0.18800789307254878,2021-11-18
True,pop_below_threshold,0.0,0.18111190079304063,2021-11-19
True,pop_below_threshold,0.0,0.17535558573297572,2021-11-22
True,pop_below_threshold,0.0,0.16381298078542722,2021-11-23
True,pop_below_threshold,0.0,0.16162829880253993,2021-11-24
True,pop_below_threshold,0.0,0.14620176812974073,2021-11-29
True,pop_below_threshold,0.0,0.1311764026955476,2021-11-30
True,pop_below_threshold,0.0,0.1028417143789101,2021-12-01
True,pop_below_threshold,0.0,0.08491556757642937,2021-12-02
True,pop_below_threshold,0.0,0.1007912387471594,2021-12-03
True,pop_below_threshold,0.0,0.08605908609659335,2021-12-06
True,pop_below_threshold,0.0,0.10120468094621704,2021-12-07
True,pop_below_threshold,0.0,0.13813319137608665,2021-12-08
True,pop_below_threshold,0.0,0.15619804433021678,2021-12-09
True,pop_below_threshold,0.0,0.14000494595680785,2021-12-10
True,pop_below_threshold,0.0,0.16881054612910124,2021-12-13
True,pop_below_threshold,0.0,0.15357945418449753,2021-12-14
True,pop_below_threshold,0.0,0.14027150597187132,2021-12-15
True,pop_below_threshold,0.0,0.16071494131840447,2021-12-16
True,pop_below_threshold,0.0,0.14669591719692937,2021-12-20
True,pop_below_threshold,0.0,0.13398417612286545,2021-12-21
True,pop_below_threshold,0.0,0.14670959793005373,2021-12-22
True,pop_below_threshold,0.0,0.16771008633316864,2021-12-23
True,pop_below_threshold,0.0,0.1737455764436298,2021-12-27
True,pop_below_threshold,0.0,0.17540730940984683,2021-12-28
True,pop_below_threshold,0.0,0.17801263783247945,2021-12-29
True,pop_below_threshold,0.0,0.18448626063583284,2021-12-30
True,pop_below_threshold,0.0,0.1801653070902588,2021-12-31
True,pop_below_threshold,0.0,0.1819098380679715,2022-01-03
True,pop_below_threshold,0.0,0.1880163430953905,2022-01-04
True,pop_below_threshold,0.0,0.18515610983526132,2022-01-05
True,pop_below_threshold,0.0,0.1575224705317385,2022-01-06
True,pop_below_threshold,0.0,0.15930614658154385,2022-01-07
True,pop_below_threshold,0.0,0.17198970755371823,2022-01-10
True,pop_below_threshold,0.0,0.16268962362902212,2022-01-11
True,pop_below_threshold,0.0,0.16973613317301645,2022-01-12
True,pop_below_threshold,0.0,0.1795008129145147,2022-01-13
True,pop_below_threshold,0.0,0.1539850167431343,2022-01-14
True,pop_below_threshold,0.0,0.16705935712163722,2022-01-18
True,pop_below_threshold,0.0,0.13467331570332436,2022-01-19
True,pop_below_threshold,0.0,0.12661421938089495,2022-01-20
True,pop_below_threshold,0.0,0.11951350369072972,2022-01-21
True,pop_below_threshold,0.0,0.1049831544740108,2022-01-24
True,pop_below_threshold,0.0,0.09805521970076159,2022-01-25
True,pop_below_threshold,0.0,0.0895779029198257,2022-01-26
True,pop_below_threshold,0.0,0.08648247838720696,2022-01-27
True,pop_below_threshold,0.0,0.09565439568435874,2022-01-28
True,pop_below_threshold,0.0,0.10617774416907605,2022-01-31
True,pop_below_threshold,0.0,0.12263021825216547,2022-02-01
True,pop_below_threshold,0.0,0.142636958331451,2022-02-02
True,pop_below_threshold,0.0,0.1420622548914529,2022-02-03
True,pop_below_threshold,0.0,0.1880757939842957,2022-02-04
True,pop_below_threshold,0.0,0.13415504910122666,2022-02-07
True,pop_below_threshold,0.0,0.13841710899030724,2022-02-08
True,pop_below_threshold,0.0,0.14634304137639154,2022-02-09
True,pop_below_threshold,0.0,0.16026502510395835,2022-02-10
True,pop_below_threshold,0.0,0.1288478378995142,2022-02-11
True,pop_below_threshold,0.0,0.10994050952882639,2022-02-14
True,pop_below_threshold,0.0,0.1022076164877892,2022-02-15
True,pop_below_threshold,0.0,0.11873972505954578,2022-02-16
True,pop_below_threshold,0.0,0.12986958549149086,2022-02-17
True,pop_below_threshold,0.0,0.10628768580626863,2022-02-18
True,pop_below_threshold,0.0,0.10890432163479502,2022-02-22
True,pop_below_threshold,0.0,0.10537262027072991,2022-02-23
True,pop_below_threshold,0.0,0.09841575669974623,2022-02-24
True,pop_below_threshold,0.0,0.09615167253228823,2022-02-25
True,pop_below_threshold,0.0,0.11077108338272151,2022-02-28
True,pop_below_threshold,0.0,0.09596353268203045,2022-03-01
True,pop_below_threshold,0.0,0.08150921540042377,2022-03-02
True,pop_below_threshold,0.0,0.09203831989429012,2022-03-03
True,pop_below_threshold,0.0,0.09601427327234036,2022-03-04
True,pop_below_threshold,0.0,0.09016086959400194,2022-03-07
True,pop_below_threshold,0.0,0.07471714862063994,2022-03-08
