S0,S_close,prior_vix,sigma_daily_pct,short_call_K,long_call_K,short_put_K,long_put_K,wing_width_pts,net_credit_per_share,max_loss_per_contract,pnl_per_share,pnl_per_contract,pnl_total,winner,date,skipped,skip_reason
3774.5,3830.25,26.700000762939453,1.681941952951729,3933.212247535407,3972.544370010761,3615.7877524645924,3579.6298749399466,39.332122475354026,4.314838523354997e-08,3933.2122432205642,4.314838523354997e-08,4.314838523354997e-06,4.314838523354997e-06,True,2022-07-05,False,
3836.75,3843.75,27.540000915527344,1.7348569887851546,4003.155313793036,4043.1868669309665,3670.344686206964,3633.6412393448945,40.03155313793059,4.5859489394835125e-08,4003.15530920711,4.5859489394835125e-08,4.585948939483513e-06,4.585948939483513e-06,True,2022-07-06,False,
3867.0,3904.75,26.729999542236328,1.6838316984197064,4029.7844294447245,4070.082273739172,3704.215570555275,3667.173414849722,40.29784429444726,4.427676569079485e-08,4029.784425017049,4.427676569079485e-08,4.427676569079485e-06,4.427676569079485e-06,True,2022-07-07,False,
3887.5,3906.75,26.079999923706055,1.642885571207374,4047.167941451716,4087.639620866233,3727.8320585482834,3690.5537379628004,40.471679414516984,4.298224121271035e-08,4047.167937153474,4.298224121271035e-08,4.298224121271035e-06,4.298224121271035e-06,True,2022-07-08,False,
3873.25,3852.0,24.639999389648438,1.552174064042692,4023.5489548388337,4063.784444387222,3722.951045161166,3685.7215347095544,40.23548954838816,3.956832764645076e-08,4023.5489508819833,3.956832764645076e-08,3.956832764645076e-06,3.956832764645076e-06,True,2022-07-11,False,
3851.0,3823.5,26.170000076293945,1.6485550479146465,4009.714637237983,4049.811783610363,3692.285362762017,3655.362509134397,40.09714637237994,4.278640613083672e-08,4009.7146329593534,4.278640613083672e-08,4.278640613083672e-06,4.278640613083672e-06,True,2022-07-12,False,
3765.5,3810.25,27.290000915527344,1.7191084690764369,3927.3325735076833,3966.60589924276,3603.667426492317,3567.630752227394,39.273325735076924,4.441781899540384e-08,3927.3325690659103,4.441781899540384e-08,4.441781899540384e-06,4.441781899540384e-06,True,2022-07-13,False,
3749.5,3793.5,26.81999969482422,1.6895011751269784,3907.8696164034654,3946.9483125675,3591.1303835965346,3555.219079760569,39.07869616403468,4.313825904611238e-08,3907.8696120896425,4.313825904611238e-08,4.313825904611238e-06,4.313825904611238e-06,True,2022-07-14,False,
3840.0,3857.75,26.399999618530273,1.6630436572102656,3999.652191092185,4039.648713003107,3680.3478089078144,3643.5443308187364,39.99652191092173,4.3196470289996304e-08,3999.652186772526,4.3196470289996304e-08,4.31964702899963e-06,4.31964702899963e-06,True,2022-07-15,False,
3898.0,3833.0,24.229999542236328,1.5263465013325284,4046.742466554855,4087.2098912204037,3749.257533445145,3711.7649581106934,40.467424665548606,3.8917220561275445e-08,4046.7424626631387,3.8917220561275445e-08,3.8917220561275444e-06,3.8917220561275444e-06,True,2022-07-18,False,
3874.5,3937.0,25.299999237060547,1.593750146461573,4028.8746235616336,4069.1633697972497,3720.125376438366,3682.9241226739823,40.288746235616145,4.1054112259964133e-08,4028.874619456203,4.1054112259964133e-08,4.105411225996413e-06,4.105411225996413e-06,True,2022-07-19,False,
3938.5,3963.0,24.5,1.5433549314543444,4090.4625849383233,4131.367210787706,3786.5374150616767,3748.67204091106,40.90462584938314,3.9921604444984786e-08,4090.462580946153,3.9921604444984786e-08,3.992160444498479e-06,3.992160444498479e-06,True,2022-07-20,False,
3954.75,3997.0,23.8799991607666,1.5042985497099894,4103.478117236639,4144.512898409006,3806.0218827633607,3767.9616639357273,41.03478117236682,3.87109387522003e-08,4103.478113365588,3.87109387522003e-08,3.8710938752200295e-06,3.8710938752200295e-06,True,2022-07-21,False,
4003.25,3957.5,23.110000610351562,1.4557932003224079,4148.947603229766,4190.437079262064,3857.552396770233,3818.9768728025306,41.489476032297716,3.749668192060409e-08,4148.947599480103,3.749668192060409e-08,3.749668192060409e-06,3.749668192060409e-06,True,2022-07-22,False,
3971.25,3966.0,23.030000686645508,1.450753678821685,4115.282638675515,4156.43546506227,3827.2173613244845,3788.9451877112397,41.152826386754896,3.7025343196694585e-08,4115.282634972955,3.7025343196694585e-08,3.7025343196694586e-06,3.7025343196694586e-06,True,2022-07-25,False,
3952.75,3926.75,23.360000610351562,1.4715417200311256,4098.165913346326,4139.147572479789,3807.334086653674,3769.2607457871372,40.98165913346293,3.75604075238483e-08,4098.165909590252,3.75604075238483e-08,3.75604075238483e-06,3.75604075238483e-06,True,2022-07-26,False,
3957.5,4031.5,24.690000534057617,1.5553238400754377,4111.379852427463,4152.493650951738,3803.620147572536,3765.583946096811,41.1137985242749,4.054180981069342e-08,4111.379848373309,4.054180981069342e-08,4.054180981069342e-06,4.054180981069342e-06,True,2022-07-27,False,
4031.75,4073.25,23.239999771118164,1.4639823777042063,4179.310273782723,4221.10337652055,3884.1897262172765,3845.3478289551035,41.79310273782721,3.804773617826832e-08,4179.310269977947,3.804773617826832e-08,3.804773617826832e-06,3.804773617826832e-06,True,2022-07-28,False,
