date,close,contribution,shares_bought,cum_contributed,cum_shares,market_value,pnl_dollars,mode
2023-04-03,395.4596862792969,1000.0,2.5287027595873357,25000.0,63.150458254935806,24973.460409890748,-26.539590109252458,monthly_dca
2023-04-04,393.26556396484375,0.0,0.0,25000.0,63.150458254935806,24834.900580265654,-165.09941973434616,monthly_dca
2023-04-05,392.2359313964844,0.0,0.0,25000.0,63.150458254935806,24769.878811739552,-230.12118826044752,monthly_dca
2023-04-06,393.7659912109375,0.0,0.0,25000.0,63.150458254935806,24866.50279017973,-133.49720982027065,monthly_dca
2023-04-10,394.17010498046875,0.0,0.0,25000.0,63.150458254935806,24892.022759912757,-107.97724008724254,monthly_dca
2023-04-11,394.2760314941406,0.0,0.0,25000.0,63.150458254935806,24898.712067792483,-101.28793220751686,monthly_dca
2023-04-12,392.66888427734375,0.0,0.0,25000.0,63.150458254935806,24797.219984568615,-202.78001543138453,monthly_dca
2023-04-13,397.8846130371094,0.0,0.0,25000.0,63.150458254935806,25126.59564588126,126.59564588126159,monthly_dca
2023-04-14,396.9127197265625,0.0,0.0,25000.0,63.150458254935806,25065.22013794532,65.22013794532177,monthly_dca
2023-04-17,398.3369445800781,0.0,0.0,25000.0,63.150458254935806,25155.1605901029,155.16059010289973,monthly_dca
2023-04-18,398.59674072265625,0.0,0.0,25000.0,63.150458254935806,25171.566835559574,171.56683555957352,monthly_dca
2023-04-19,398.52935791015625,0.0,0.0,25000.0,63.150458254935806,25167.31158007169,167.31158007169142,monthly_dca
2023-04-20,396.3546142578125,0.0,0.0,25000.0,63.150458254935806,25029.975521839173,29.97552183917287,monthly_dca
2023-04-21,396.6625671386719,0.0,0.0,25000.0,63.150458254935806,25049.42288738637,49.42288738636853,monthly_dca
2023-04-24,397.07635498046875,0.0,0.0,25000.0,63.150458254935806,25075.553779216163,75.5537792161631,monthly_dca
2023-04-25,390.7732238769531,0.0,0.0,25000.0,63.150458254935806,24677.50816158821,-322.4918384117882,monthly_dca
2023-04-26,389.1180114746094,0.0,0.0,25000.0,63.150458254935806,24572.980739870953,-427.0192601290473,monthly_dca
2023-04-27,396.8645935058594,0.0,0.0,25000.0,63.150458254935806,25062.18094505384,62.180945053838514,monthly_dca
2023-04-28,400.25189208984375,0.0,0.0,25000.0,63.150458254935806,25276.090402878748,276.09040287874814,monthly_dca
2023-05-01,399.8477783203125,1000.0,2.500951747689627,26000.0,65.65141000262544,26250.570433145724,250.57043314572365,monthly_dca
2023-05-02,395.3537292480469,0.0,0.0,26000.0,65.65141000262544,25955.529774930495,-44.47022506950452,monthly_dca
2023-05-03,392.64007568359375,0.0,0.0,26000.0,65.65141000262544,25777.374592165495,-222.62540783450459,monthly_dca
