date,ratio,regime,target_in_position,in_position,suspended,flip,svxy_return,strategy_return,strategy_nav,spy_return,spy_nav,monthly_dd
2025-02-24,0.955689776381147,gray,False,False,False,True,-0.003572852349336353,-0.004572852349336353,0.8437100703112618,-0.0045504795244935,1.510375987277167,-0.021656107231471933
2025-02-25,0.9700449145830653,gray,False,False,False,False,-0.0023904169334865166,0.0,0.8437100703112618,-0.004973260146939551,1.502864494572747,-0.021656107231471933
2025-02-26,0.9670886269098595,gray,False,False,False,False,0.009784302033824632,0.0,0.8437100703112618,0.0005048550487694037,1.5036232233004483,-0.021656107231471933
2025-02-27,0.9957587108623868,gray,False,False,False,False,-0.03045285593871505,0.0,0.8437100703112618,-0.015962033227799433,1.4796223394480357,-0.021656107231471933
2025-02-28,0.9727452360707787,gray,False,False,False,False,0.014888834599452894,0.0,0.8437100703112618,0.015605715974889689,1.5027129054275636,-0.021656107231471933
2025-03-03,1.0270514144821592,gray,False,False,False,False,-0.044815104852431564,0.0,0.8437100703112618,-0.017519976873326182,1.476385410077224,0.0
2025-03-04,1.0320456330216128,backwardation,False,False,False,False,-0.011781981337598335,0.0,0.8437100703112618,-0.011836893452684794,1.4589095932830416,0.0
2025-03-05,1.0096685542569133,backwardation,False,False,False,False,0.0221417303342899,0.0,0.8437100703112618,0.010747915551218012,1.4745898303885094,0.0
2025-03-06,1.0493670902375463,backwardation,False,False,False,False,-0.05415535440572916,0.0,0.8437100703112618,-0.01775120719359835,1.44841408078371,0.0
2025-03-07,1.0345285826196045,backwardation,False,False,False,False,0.022462022928674497,0.0,0.8437100703112618,0.0056047548786040124,1.4565320866692213,0.0
2025-03-10,1.083203785152744,backwardation,False,False,False,False,-0.05449060440809095,0.0,0.8437100703112618,-0.026635451217348782,1.41773669732824,0.0
2025-03-11,1.0623520092419847,backwardation,False,False,False,False,0.0011389347453911736,0.0,0.8437100703112618,-0.008312958435207851,1.4059511110912815,0.0
2025-03-12,1.0236586169893271,backwardation,False,False,False,False,0.024800913166468597,0.0,0.8437100703112618,0.005306664456809607,1.4134120218805215,0.0
2025-03-13,1.024937672268823,backwardation,False,False,False,False,-0.02242455851909797,0.0,0.8437100703112618,-0.01333052797936185,1.3945704933764769,0.0
2025-03-14,0.9819576176295106,backwardation,False,False,False,False,0.04474225017760913,0.0,0.8437100703112618,0.020655716387676826,1.423376345970284,0.0
2025-03-17,0.9629108433579582,gray,False,False,False,False,0.0189130202583645,0.0,0.8437100703112618,0.007711435998744909,1.4343526215643612,0.0
